User_ID,Date,Description,Category,Amount,Balance
user_1,2023-01-01,Freelance Payment,Income,3073.17,5876.79
user_1,2023-01-03,Parking,Transportation,-70.99,5805.8
user_1,2023-01-04,Streaming Service,Entertainment,-58.13,5747.67
user_1,2023-01-05,Online Shopping,Shopping,-127.69,5619.98
user_1,2023-01-06,Parking,Transportation,-78.93,5541.05
user_1,2023-01-09,Internet,Housing,-838.07,4702.98
user_1,2023-01-11,Home Goods,Shopping,-250.24,4452.74
user_1,2023-01-12,Public Transit,Transportation,-94.15,4358.59
user_1,2023-01-13,Grocery Store,Food,-176.58,4182.01
user_1,2023-01-17,Rent,Housing,-1279.85,2902.16
user_1,2023-01-18,Grocery Store,Food,-148.61,2753.55
user_1,2023-01-19,Coffee Shop,Food,-280.2,2473.35
user_1,2023-01-21,Utilities,Housing,-1475.37,997.98
user_1,2023-01-24,Internet,Housing,-1442.1,-444.12
user_1,2023-01-25,Electronics,Shopping,-271.22,-715.34
user_1,2023-01-28,Car Payment,Transportation,-103.39,-818.73
user_1,2023-01-31,Mortgage,Housing,-1094.66,-1913.39
user_1,2023-02-01,Salary,Income,3695.82,1782.43
user_1,2023-02-02,Car Payment,Transportation,-142.25,1640.18
user_1,2023-02-03,Takeout,Food,-174.08,1466.1
user_1,2023-02-09,Video Games,Entertainment,-199.89,1266.21
user_1,2023-02-12,Electronics,Shopping,-151.73,1114.48
user_1,2023-02-13,Uber/Lyft,Transportation,-75.99,1038.49
user_1,2023-02-14,Fast Food,Food,-185.11,853.38
user_1,2023-02-15,Salary,Income,2911.67,3765.05
user_1,2023-02-16,Department Store,Shopping,-60.44,3704.61
user_1,2023-02-18,Gas,Transportation,-120.16,3584.45
user_1,2023-02-20,Gas,Transportation,-55.8,3528.65
user_1,2023-02-21,Electronics,Shopping,-90.48,3438.17
user_1,2023-02-23,Coffee Shop,Food,-204.78,3233.39
user_1,2023-02-24,Internet,Housing,-1189.26,2044.13
user_1,2023-02-25,Coffee Shop,Food,-225.85,1818.28
user_1,2023-02-27,Gas,Transportation,-126.15,1692.13
user_1,2023-02-28,Electronics,Shopping,-88.39,1603.74
user_1,2023-03-01,Freelance Payment,Income,4623.41,6227.15
user_1,2023-03-02,Streaming Service,Entertainment,-95.79,6131.36
user_1,2023-03-04,Restaurant,Food,-291.04,5840.32
user_1,2023-03-05,Home Goods,Shopping,-73.05,5767.27
user_1,2023-03-06,Car Payment,Transportation,-116.43,5650.84
user_1,2023-03-08,Mortgage,Housing,-816.96,4833.88
user_1,2023-03-10,Clothing,Shopping,-127.17,4706.71
user_1,2023-03-12,Restaurant,Food,-218.64,4488.07
user_1,2023-03-13,Grocery Store,Food,-147.9,4340.17
user_1,2023-03-15,Salary,Income,4649.23,8989.4
user_1,2023-03-19,Utilities,Housing,-1270.22,7719.18
user_1,2023-03-20,Utilities,Housing,-1196.06,6523.12
user_1,2023-03-21,Video Games,Entertainment,-66.98,6456.14
user_1,2023-03-22,Internet,Housing,-1439.91,5016.23
user_1,2023-03-23,Utilities,Housing,-1166.01,3850.22
user_1,2023-03-25,Movies,Entertainment,-186.68,3663.54
user_1,2023-03-29,Takeout,Food,-131.76,3531.78
user_10,2023-01-02,Restaurant,Food,-171.56,981.57
user_10,2023-01-03,Internet,Housing,-968.01,13.56
user_10,2023-01-06,Online Shopping,Shopping,-244.42,-230.86
user_10,2023-01-07,Parking,Transportation,-142.76,-373.62
user_10,2023-01-08,Restaurant,Food,-167.21,-540.83
user_10,2023-01-10,Takeout,Food,-224.35,-765.18
user_10,2023-01-12,Grocery Store,Food,-242.51,-1007.69
user_10,2023-01-14,Clothing,Shopping,-171.97,-1179.66
user_10,2023-01-15,Freelance Payment,Income,3463.92,2284.26
user_10,2023-01-16,Public Transit,Transportation,-94.67,2189.59
user_10,2023-01-18,Gas,Transportation,-62.37,2127.22
user_10,2023-01-21,Department Store,Shopping,-130.33,1996.89
user_10,2023-01-23,Takeout,Food,-227.12,1769.77
user_10,2023-01-25,Mortgage,Housing,-1434.68,335.09
user_10,2023-01-26,Streaming Service,Entertainment,-165.5,169.59
user_10,2023-01-27,Coffee Shop,Food,-137.23,32.36
user_10,2023-01-30,Utilities,Housing,-1459.33,-1426.97
user_10,2023-02-01,Freelance Payment,Income,4913.36,3486.39
user_10,2023-02-03,Streaming Service,Entertainment,-85.55,3400.84
user_10,2023-02-06,Streaming Service,Entertainment,-101.63,3299.21
user_10,2023-02-08,Internet,Housing,-944.33,2354.88
user_10,2023-02-09,Video Games,Entertainment,-189.22,2165.66
user_10,2023-02-11,Gas,Transportation,-139.21,2026.45
user_10,2023-02-12,Department Store,Shopping,-258.7,1767.75
user_10,2023-02-14,Electricity,Housing,-1144.14,623.61
user_10,2023-02-16,Grocery Store,Food,-226.15,397.46
user_10,2023-02-17,Utilities,Housing,-1073.69,-676.23
user_10,2023-02-20,Movies,Entertainment,-128.11,-804.34
user_10,2023-02-23,Video Games,Entertainment,-174.76,-979.1
user_10,2023-02-24,Sports Event,Entertainment,-121.45,-1100.55
user_10,2023-02-25,Uber/Lyft,Transportation,-68.12,-1168.67
user_10,2023-02-27,Online Shopping,Shopping,-56.93,-1225.6
user_10,2023-03-01,Salary,Income,2748.28,1522.68
user_10,2023-03-03,Takeout,Food,-219.49,1303.19
user_10,2023-03-04,Video Games,Entertainment,-78.36,1224.83
user_10,2023-03-06,Grocery Store,Food,-204.84,1019.99
user_10,2023-03-07,Movies,Entertainment,-149.04,870.95
user_10,2023-03-09,Grocery Store,Food,-289.77,581.18
user_10,2023-03-10,Streaming Service,Entertainment,-198.48,382.7
user_10,2023-03-12,Concert,Entertainment,-131.15,251.55
user_10,2023-03-13,Home Goods,Shopping,-178.12,73.43
user_10,2023-03-14,Mortgage,Housing,-1253.94,-1180.51
user_10,2023-03-16,Car Payment,Transportation,-95.3,-1275.81
user_10,2023-03-18,Electronics,Shopping,-295.36,-1571.17
user_10,2023-03-21,Takeout,Food,-256.03,-1827.2
user_10,2023-03-22,Gas,Transportation,-118.88,-1946.08
user_10,2023-03-23,Grocery Store,Food,-265.08,-2211.16
user_10,2023-03-24,Electronics,Shopping,-63.54,-2274.7
user_10,2023-03-25,Electricity,Housing,-1275.46,-3550.16
user_10,2023-03-29,Uber/Lyft,Transportation,-148.05,-3698.21
user_2,2023-01-01,Contract Work,Income,4982.54,6475.79
user_2,2023-01-03,Fast Food,Food,-159.34,6316.45
user_2,2023-01-04,Home Goods,Shopping,-277.21,6039.24
user_2,2023-01-07,Restaurant,Food,-190.56,5848.68
user_2,2023-01-08,Parking,Transportation,-125.38,5723.3
user_2,2023-01-13,Sports Event,Entertainment,-89.62,5633.68
user_2,2023-01-14,Fast Food,Food,-261.7,5371.98
user_2,2023-01-15,Direct Deposit,Income,4904.05,10276.03
user_2,2023-01-18,Mortgage,Housing,-1339.84,8936.19
user_2,2023-01-19,Electronics,Shopping,-171.41,8764.78
user_2,2023-01-21,Internet,Housing,-1389.22,7375.56
user_2,2023-01-23,Grocery Store,Food,-232.73,7142.83
user_2,2023-01-27,Fast Food,Food,-250.98,6891.85
user_2,2023-01-30,Concert,Entertainment,-177.51,6714.34
user_2,2023-01-31,Streaming Service,Entertainment,-24.4,6689.94
user_2,2023-02-03,Parking,Transportation,-138.35,6551.59
user_2,2023-02-04,Car Payment,Transportation,-105.77,6445.82
user_2,2023-02-05,Home Goods,Shopping,-60.65,6385.17
user_2,2023-02-06,Streaming Service,Entertainment,-118.74,6266.43
user_2,2023-02-07,Internet,Housing,-922.13,5344.3
user_2,2023-02-08,Public Transit,Transportation,-116.65,5227.65
user_2,2023-02-09,Gas,Transportation,-70.3,5157.35
user_2,2023-02-15,Freelance Payment,Income,4715.63,9872.98
user_2,2023-02-16,Electricity,Housing,-1477.55,8395.43
user_2,2023-02-17,Rent,Housing,-1314.54,7080.89
user_2,2023-02-18,Utilities,Housing,-1380.38,5700.51
user_2,2023-02-19,Concert,Entertainment,-88.28,5612.23
user_2,2023-02-20,Rent,Housing,-1134.38,4477.85
user_2,2023-02-22,Coffee Shop,Food,-299.84,4178.01
